日期,基地,温室,模块,种植床1液位上限距种植床表面距离cm,种植床2液位上限距种植床表面距离cm,最低水温℃,最高水温℃,溶氧mg/L,氨氮mg/L,亚盐mg/L,PH,EC值ms/cm,水温_日均,水温_std,水温_日较差,温室_推断,能耗km/h,最低气温℃,最高气温℃,最低湿度%,最高湿度%,光照时长h,气温_日均,气温_std,气温_日较差,湿度_日均,湿度_std,DLI_approx,光照_峰值,蔬菜_事件数,蔬菜_病害次数,鱼_事件数,鱼_死亡数量,鱼_死亡重量_kg,鱼_病害次数,溶氧_有效,氨氮_有效,亚盐_有效,PH_有效,EC_有效
2025-04-23,辽宁喀左基地,喀左0号棚,喀左0-1,11.0,7.0,21.3,23.2,8.65,,0.341,,,22.252631578947373,0.7029025694651182,1.8000000000000007,喀左0号棚,35.34,15.9,30.7,28.8,92.1,14.13,21.766666666666666,5.095886140364162,14.3,67.52083333333333,23.229704029658997,74124.0,9481.0,0,0,0,0,0.0,0,1,0,1,0,0
2025-04-24,辽宁喀左基地,喀左0号棚,喀左0-1,11.0,7.0,21.5,22.5,10.47,,0.1,,,22.02916666666667,0.3297463250574429,1.0,喀左0号棚,36.73,14.6,24.4,25.3,89.3,14.13,18.616666666666667,2.933096581354858,9.299999999999999,62.60833333333333,25.575849882696417,62915.0,10026.0,0,0,0,0,0.0,0,1,0,1,0,0
2025-04-25,辽宁喀左基地,喀左0号棚,喀左0-1,11.0,7.0,20.6,22.6,9.81,,,,,21.672727272727272,0.7699951701039893,2.0,喀左0号棚,37.14,13.5,28.8,25.5,90.0,14.17,20.0625,4.8366493653492535,14.500000000000002,64.84166666666665,25.43783135192324,69237.0,8814.0,0,0,0,0,0.0,0,1,0,0,0,0
2025-04-26,辽宁喀左基地,喀左0号棚,喀左0-1,11.0,7.0,21.2,23.2,8.19,0.41,0.046,7.63,1.9,22.236842105263158,0.7435409777514409,1.8000000000000007,喀左0号棚,36.48,14.5,29.6,34.9,93.4,14.27,21.600000000000005,4.663332142006043,14.200000000000001,69.59583333333333,22.572890805245915,73989.0,10231.0,1,1,0,0,0.0,0,1,1,1,1,1
2025-04-27,辽宁喀左基地,喀左0号棚,喀左0-1,11.0,7.0,22.2,23.9,8.38,,,,,23.00952380952381,0.6054551706929431,1.6999999999999993,喀左0号棚,35.83,16.3,27.9,26.9,92.9,14.27,21.350000000000005,3.2668792447839268,10.899999999999999,65.45,26.79205417034436,70686.0,8785.0,0,0,1,1,0.5,0,1,0,0,0,0
2025-04-28,辽宁喀左基地,喀左0号棚,喀左0-1,11.0,7.0,22.4,24.2,7.68,,,,,23.061904761904763,0.40056649228215385,1.8000000000000007,喀左0号棚,35.65,15.7,28.6,30.5,93.9,14.37,21.204166666666666,4.028490119001025,12.6,66.81666666666666,23.976406226863016,71374.0,8958.0,0,0,0,0,0.0,0,1,0,0,0,0
2025-04-29,辽宁喀左基地,喀左0号棚,喀左0-1,11.0,7.0,22.2,24.3,7.53,0.36,0.064,7.46,1.9,23.18421052631579,0.8241507002553,2.0,喀左0号棚,36.97,16.3,33.5,22.2,92.1,14.4,23.120833333333337,5.462827348442278,16.4,64.11666666666666,27.435935478046954,69202.0,9522.0,1,1,0,0,0.0,0,1,1,1,1,1
2025-04-30,辽宁喀左基地,喀左0号棚,喀左0-1,11.0,7.0,23.0,24.3,7.78,,,,,23.695238095238096,0.4180182161400902,1.1999999999999993,喀左0号棚,36.61,17.6,31.8,42.6,92.3,14.23,21.75,3.633639130862245,13.5,72.8625,19.93894456626696,52294.0,10052.0,0,0,0,0,0.0,0,1,0,0,0,0
2025-05-01,辽宁喀左基地,喀左0号棚,喀左0-1,11.0,7.0,22.3,24.1,8.06,,,,,23.34090909090909,0.4932813054241887,1.5,喀左0号棚,36.28,15.4,26.4,31.7,92.0,14.47,19.625,3.121197686786276,9.999999999999998,68.39999999999999,24.71049034991684,67940.0,8838.0,0,0,0,0,0.0,0,1,0,0,0,0
2025-05-02,辽宁喀左基地,喀左0号棚,喀左0-1,11.0,7.0,22.3,23.3,8.6,,,,,22.675,0.24022558842332634,0.9000000000000021,喀左0号棚,36.04,15.0,25.4,66.9,97.5,14.43,19.22083333333333,2.8660337237296347,10.299999999999999,90.85000000000001,6.713419396998821,18994.0,2781.0,0,0,0,0,0.0,0,1,0,0,0,0
2025-05-03,辽宁喀左基地,喀左0号棚,喀左0-1,11.0,7.0,21.5,23.1,8.46,0.46,0.056,7.53,2.0,22.333333333333332,0.5071708018234311,1.6000000000000014,喀左0号棚,36.02,14.9,26.2,26.7,98.7,14.5,19.558333333333334,3.4359516715007636,10.5,70.15833333333335,26.966891995350313,65134.0,8803.0,1,1,0,0,0.0,0,1,1,1,1,1
2025-05-04,辽宁喀左基地,喀左0号棚,喀左0-1,11.0,7.0,21.4,23.1,8.34,,,,,22.325,0.5811267790537047,1.7000000000000028,喀左0号棚,35.56,14.0,27.2,28.9,97.2,14.4,19.762500000000003,3.9815001883712124,12.5,68.31666666666666,25.46925706720861,65828.0,9531.0,0,0,0,0,0.0,0,1,0,0,0,0
2025-05-05,辽宁喀左基地,喀左0号棚,喀左0-1,11.0,7.0,20.6,22.6,8.38,,,,,21.5,0.5979130371550697,1.8000000000000007,喀左0号棚,36.08,16.5,18.8,91.6,97.8,14.17,17.8,0.5766281297335395,2.1999999999999993,95.40416666666665,2.062457912028483,4396.0,526.0,0,0,0,0,0.0,0,1,0,0,0,0
2025-05-06,辽宁喀左基地,喀左0号棚,喀左0-1,11.0,7.0,20.3,22.3,8.33,0.42,0.049,7.52,,21.295833333333334,0.7796789759609756,2.0,喀左0号棚,37.43,16.2,27.4,43.7,100.0,14.47,19.983333333333334,3.310798829420007,10.100000000000001,79.03333333333333,21.02232279163165,61692.0,8763.0,1,1,0,0,0.0,0,1,1,1,1,0
2025-05-07,辽宁喀左基地,喀左0号棚,喀左0-1,11.0,7.0,21.2,23.4,9.3,,,,,22.229999999999997,0.8860586888011427,2.1999999999999993,喀左0号棚,36.92,15.8,28.6,38.8,94.7,14.67,20.9875,4.006797609479837,11.9,67.95833333333333,19.992080029073733,76817.0,9895.0,0,0,1,1,0.7,0,1,0,0,0,0
2025-05-08,辽宁喀左基地,喀左0号棚,喀左0-1,11.0,7.0,21.9,23.5,8.06,,,,,22.765217391304343,0.5537294078237553,1.6000000000000014,喀左0号棚,35.93,15.7,28.5,49.1,94.2,14.6,21.370833333333334,4.0370656801141545,12.2,69.41666666666667,13.934569323169706,65940.0,9556.0,0,0,0,0,0.0,0,1,0,0,0,0
2025-05-09,辽宁喀左基地,喀左0号棚,喀左0-1,11.0,7.0,22.1,23.1,7.65,,,,,22.650000000000002,0.20615528128088287,0.8000000000000007,喀左0号棚,34.86,16.9,25.8,76.1,96.6,14.63,19.462500000000002,1.486554321240902,7.0,92.22083333333335,5.88118321192447,24629.0,4282.0,0,0,0,0,0.0,0,1,0,0,0,0
2025-05-10,辽宁喀左基地,喀左0号棚,喀左0-1,11.0,7.0,21.4,22.9,8.12,0.5,0.049,7.21,2.0,22.183333333333334,0.44596960534198826,1.3999999999999986,喀左0号棚,35.22,13.4,28.1,32.5,98.9,14.8,20.441666666666666,3.9025543629212334,12.3,67.95,24.81990128908655,64065.0,9814.0,1,1,0,0,0.0,0,1,1,1,1,1
2025-05-11,辽宁喀左基地,喀左0号棚,喀左0-1,11.0,7.0,20.9,22.6,8.72,,,,,21.843478260869563,0.5395860627301521,1.6000000000000014,喀左0号棚,35.41,10.9,31.5,29.1,79.9,14.93,20.179166666666667,6.354524580083775,17.799999999999997,60.770833333333336,14.532305367888315,35860.0,8202.0,0,0,0,0,0.0,0,1,0,0,0,0
2025-05-12,辽宁喀左基地,喀左0号棚,喀左0-1,11.0,7.0,21.3,23.8,7.72,,,,,22.447058823529414,1.0284869795617382,2.5,喀左0号棚,34.95,14.6,34.0,29.3,80.9,14.97,23.108333333333334,6.284300323469237,17.699999999999996,53.34583333333333,17.196874211288776,72551.0,9662.0,0,0,0,0,0.0,0,1,0,0,0,0
2025-05-13,辽宁喀左基地,喀左0号棚,喀左0-1,11.0,7.0,22.7,25.0,7.47,0.67,0.085,,,23.752941176470586,1.033621643746949,2.3000000000000007,喀左0号棚,34.56,19.3,33.8,45.7,92.0,14.6,25.329166666666666,4.846259654505616,14.0,66.17083333333333,14.28462107672288,61424.0,8710.0,0,0,1,1,1.0,0,1,1,1,0,0
2025-05-14,辽宁喀左基地,喀左0号棚,喀左0-1,11.0,7.0,23.3,24.8,6.34,,,,,24.145833333333332,0.36966106848781843,1.4000000000000021,喀左0号棚,34.51,17.2,29.7,63.7,94.9,14.87,20.891666666666666,1.9416309009581498,7.600000000000001,88.10416666666667,8.832019359819261,25641.0,6802.0,0,0,0,0,0.0,0,1,0,0,0,0
2025-05-15,辽宁喀左基地,喀左0号棚,喀左0-1,11.0,7.0,22.4,25.1,8.09,,,,,23.647619047619045,1.0358429038912949,2.700000000000003,喀左0号棚,34.44,16.0,31.1,46.1,98.5,15.03,22.916666666666668,4.9288831279397245,14.299999999999997,75.69583333333334,17.066206353655623,70126.0,8718.0,1,1,1,1,0.7,0,1,0,0,0,0
2025-05-16,辽宁喀左基地,喀左0号棚,喀左0-1,11.0,7.0,24.1,26.4,6.31,,,,,25.142105263157898,0.8845550707164558,2.1000000000000014,喀左0号棚,34.95,20.1,31.6,34.9,95.2,14.87,24.6375,3.478722526541412,11.099999999999998,73.82083333333334,21.26278006217019,71487.0,8795.0,0,0,0,0,0.0,0,1,0,0,0,0
2025-05-17,辽宁喀左基地,喀左0号棚,喀左0-1,11.0,7.0,23.8,25.7,7.69,0.57,0.044,7.74,2.2,25.1375,0.3683437027198013,1.3000000000000007,喀左0号棚,35.25,18.5,28.1,38.0,92.5,15.0,21.79583333333333,2.5201652007138122,8.100000000000001,73.575,20.86049396187284,61765.0,9956.0,1,1,1,1,0.7,0,1,1,1,1,1
2025-05-18,辽宁喀左基地,喀左0号棚,喀左0-1,11.0,7.0,23.2,24.9,7.98,,,,,23.98695652173913,0.4067948396770804,1.5999999999999979,喀左0号棚,35.37,16.6,27.3,39.9,92.3,15.1,19.870833333333334,2.277330155881858,10.100000000000001,72.83749999999999,16.669603387103525,47110.0,9535.0,0,0,0,0,0.0,0,1,0,0,0,0
2025-05-19,辽宁喀左基地,喀左0号棚,喀左0-1,11.0,7.0,22.5,25.0,9.61,,,,,23.647058823529413,1.0781889210527849,2.5,喀左0号棚,37.1,16.4,33.6,36.4,88.0,15.2,23.7375,5.489141743782295,16.9,63.32083333333333,19.96895463727522,75503.0,10562.0,0,0,0,0,0.0,0,1,0,0,0,0
2025-05-20,辽宁喀左基地,喀左0号棚,喀左0-1,11.0,7.0,23.7,26.1,7.62,0.56,0.046,7.65,2.0,24.942105263157895,0.9269734507489155,2.3000000000000007,喀左0号棚,36.57,17.2,33.7,41.0,84.0,15.13,24.179166666666664,5.043806364135016,16.1,64.22083333333333,14.42650856255787,74956.0,10627.0,0,0,1,1,0.8,0,1,1,1,1,1
2025-05-21,辽宁喀左基地,喀左0号棚,喀左0-1,11.0,7.0,24.5,26.2,7.74,,,,,25.33684210526316,0.6326307032133354,1.6999999999999993,喀左0号棚,36.73,19.6,32.9,27.0,60.5,15.17,24.90833333333333,4.407750434052374,12.399999999999999,43.84583333333333,10.463188614003965,79483.0,10918.0,0,0,0,0,0.0,0,1,0,0,0,0
2025-05-22,辽宁喀左基地,喀左0号棚,喀左0-1,11.0,7.0,23.6,25.4,8.93,,,,,24.425,0.414578098794425,1.6999999999999993,喀左0号棚,36.52,15.9,26.5,30.6,71.6,15.13,20.933333333333334,2.5707759312878453,9.099999999999998,49.13333333333333,13.911046769464267,41224.0,6304.0,0,0,0,0,0.0,0,1,0,0,0,0
2025-05-23,辽宁喀左基地,喀左0号棚,喀左0-1,1.0,0.0,22.1,23.6,8.03,,,,,23.0625,0.2884043746778703,1.3000000000000007,喀左0号棚,36.38,16.9,27.6,37.0,88.5,15.23,21.087500000000002,2.989608739729443,10.399999999999999,60.06666666666666,17.023676323155218,34674.0,11052.0,0,0,0,0,0.0,0,1,0,0,0,0
2025-05-24,辽宁喀左基地,喀左0号棚,喀左0-1,1.0,0.0,21.6,23.3,9.76,0.52,0.029,7.94,2.1,22.55,0.6013872850889572,1.6999999999999993,喀左0号棚,36.5,16.2,27.2,37.1,91.6,15.2,22.15833333333333,3.745543648420376,10.600000000000001,70.80833333333334,20.10078598518531,15706.0,3634.0,0,0,0,0,0.0,0,1,1,1,1,1
2025-05-25,辽宁喀左基地,喀左0号棚,喀左0-1,1.0,0.0,22.2,23.0,9.05,,,,,22.591666666666665,0.1998263134713633,0.6999999999999993,喀左0号棚,36.84,17.5,26.0,41.3,91.6,16.7,21.966666666666665,2.7399310615820647,7.799999999999997,67.11250000000001,18.820253108907256,11629.0,2083.0,5,0,0,0,0.0,0,1,0,0,0,0
2025-05-26,辽宁喀左基地,喀左0号棚,喀左0-1,1.0,0.0,21.2,22.4,9.81,,,,,21.833333333333332,0.3681787005729089,1.1000000000000014,喀左0号棚,36.58,15.5,28.3,40.9,79.0,15.3,21.608333333333334,3.9942580315024996,12.100000000000001,62.17083333333333,11.5264001017471,21079.0,5313.0,0,0,0,0,0.0,0,1,0,0,0,0
2025-05-27,辽宁喀左基地,喀左0号棚,喀左0-1,1.0,0.0,20.7,23.2,8.76,0.72,0.032,7.6,2.6,22.049999999999997,0.9673847907287633,2.3999999999999986,喀左0号棚,36.58,15.0,29.6,44.2,81.5,15.43,23.054166666666664,5.003163929510562,13.8,63.87083333333334,11.094310823070034,27856.0,5620.0,5,0,0,0,0.0,0,1,1,1,1,1
2025-05-28,辽宁喀左基地,喀左0号棚,喀左0-1,1.0,0.0,21.7,25.3,9.7,,,,,23.335294117647063,1.4409723745037741,3.5,喀左0号棚,36.18,16.7,34.7,43.5,85.9,15.37,24.25,5.809403296954573,17.400000000000002,65.53333333333335,14.03746969918566,82008.0,10135.0,0,0,0,0,0.0,0,1,0,0,0,0
2025-05-29,辽宁喀左基地,喀左0号棚,喀左0-1,1.0,0.0,23.0,24.4,8.86,,,,,23.678260869565218,0.4021210306007604,1.2999999999999972,喀左0号棚,35.93,17.1,31.5,34.9,80.6,15.43,23.912499999999998,4.2110284274351155,14.0,61.35,12.109947701511073,23786.0,5290.0,0,0,0,0,0.0,0,1,0,0,0,0
2025-05-30,辽宁喀左基地,喀左0号棚,喀左0-1,1.0,0.0,22.8,23.8,9.14,,,,,23.399999999999995,0.28136571693556905,0.8999999999999986,喀左0号棚,35.71,19.0,28.6,43.5,84.0,15.43,24.55,3.155682704793582,9.100000000000001,61.4,12.15860463485291,19158.0,5356.0,0,0,0,0,0.0,0,1,0,0,0,0
2025-05-31,辽宁喀左基地,喀左0号棚,喀左0-1,1.0,0.0,22.7,23.7,8.34,0.56,0.046,7.76,2.4,23.3,0.32836882762607345,1.0,喀左0号棚,36.03,20.1,30.3,46.7,93.8,15.23,23.724999999999998,2.9047733703911107,8.700000000000003,73.92916666666666,14.277648007948958,21394.0,7731.0,6,2,0,0,0.0,0,1,1,1,1,1
2025-06-01,辽宁喀左基地,喀左0号棚,喀左0-1,1.0,0.0,22.8,24.0,8.97,,,,,23.34166666666667,0.32264101137676576,1.0,喀左0号棚,34.96,19.9,26.9,68.8,95.5,15.47,22.75,2.0266968199511246,6.400000000000002,84.50416666666666,8.72727903218154,44991.0,5975.0,0,0,0,0,0.0,0,1,0,0,0,0
2025-06-02,辽宁喀左基地,喀左0号棚,喀左0-1,1.0,0.0,22.4,24.9,7.84,,,,,23.455555555555556,0.9062880473069022,2.5,喀左0号棚,35.7,16.6,32.4,28.8,89.8,15.57,23.733333333333334,4.408766519359153,12.599999999999998,57.26250000000001,19.724430969823523,70757.0,9611.0,0,0,0,0,0.0,0,1,0,0,0,0
2025-06-03,辽宁喀左基地,喀左0号棚,喀左0-1,6.0,2.0,21.7,23.4,9.53,0.56,0.045,7.73,2.4,22.6125,0.504407655902776,1.6999999999999993,喀左0号棚,35.44,14.5,28.2,33.4,72.4,15.63,21.037499999999998,3.9994595989125,12.5,48.95000000000001,13.428359294170429,63767.0,10736.0,7,2,0,0,0.0,0,1,1,1,1,1
2025-06-04,辽宁喀左基地,喀左0号棚,喀左0-1,3.0,0.0,20.9,22.1,,,,,,21.59166666666667,0.3729574000100042,1.2000000000000028,喀左0号棚,34.94,13.6,27.5,37.1,72.9,15.63,21.95,4.527876617871413,13.6,51.39166666666667,11.657326618435672,17687.0,5002.0,0,0,0,0,0.0,0,0,0,0,0,0
2025-06-05,辽宁喀左基地,喀左0号棚,喀左0-1,3.0,0.0,21.3,23.4,8.61,,,,,22.29375,0.895452923106514,2.099999999999998,喀左0号棚,34.76,19.3,33.7,36.0,90.3,15.5,25.67083333333333,4.712083683349531,14.0,57.679166666666674,17.524173284510614,33290.0,8931.0,0,0,1,1,0.7,0,1,0,0,0,0
2025-06-06,辽宁喀左基地,喀左0号棚,喀左0-1,1.0,0.0,22.6,25.0,9.34,,,,,23.566666666666666,0.8666666666666666,2.1999999999999993,喀左0号棚,34.71,20.0,32.1,35.9,91.4,15.63,25.895833333333332,4.093437753146967,11.799999999999997,62.833333333333336,20.027390965597313,32755.0,5207.0,0,0,1,1,0.45,0,1,0,0,0,0
2025-06-07,辽宁喀左基地,喀左0号棚,喀左0-1,0.0,0.0,22.9,24.5,9.01,,0.045,8.08,1.9,23.821052631578947,0.5492376988713498,1.5,喀左0号棚,34.66,17.2,31.5,34.0,67.6,15.63,24.558333333333337,4.662341745899323,13.899999999999999,48.42916666666667,10.54753048374621,41836.0,4864.0,0,0,0,0,0.0,0,1,0,1,1,1
2025-06-08,辽宁喀左基地,喀左0号棚,喀左0-1,0.0,0.0,22.6,24.9,9.84,,,,,23.811111111111106,0.9121944778566125,2.1999999999999993,喀左0号棚,34.4,16.7,35.9,27.2,85.2,15.5,26.537499999999998,6.409876006341048,18.900000000000002,53.18333333333334,18.354919110569668,41894.0,4989.0,7,1,1,1,0.9,0,1,0,0,0,0
2025-06-09,辽宁喀左基地,喀左0号棚,喀左0-1,11.0,7.0,23.1,24.8,7.65,,,,,24.087499999999995,0.43523221771065335,1.5,喀左0号棚,34.52,18.5,30.8,53.7,90.6,15.47,22.883333333333336,2.4002893344113514,10.400000000000002,80.47083333333333,9.250201762063837,13399.0,4047.0,0,0,1,1,1.1,0,1,0,0,0,0
2025-06-10,辽宁喀左基地,喀左0号棚,喀左0-1,0.0,0.0,22.2,23.4,11.17,,0.043,7.76,2.7,22.829166666666666,0.3397047329013178,1.0,喀左0号棚,34.89,17.0,30.1,40.0,88.8,15.6,22.691666666666674,4.343089977833243,12.5,64.975,17.50743294527594,41226.0,5382.0,8,2,2,2,1.75,1,1,0,1,1,1
2025-06-11,辽宁喀左基地,喀左0号棚,喀左0-1,0.0,0.0,21.4,24.0,10.73,,,,,22.764705882352946,0.9857461649583543,2.5,喀左0号棚,35.17,14.4,34.7,29.0,81.4,15.57,24.758333333333336,6.760234011399968,20.200000000000003,59.37083333333334,16.574666390978198,42731.0,5142.0,0,0,0,0,0.0,0,1,0,0,0,0
2025-06-12,辽宁喀左基地,喀左0号棚,喀左0-1,0.0,0.0,22.9,24.4,7.95,,,,,23.614285714285717,0.5007477402043152,1.4000000000000021,喀左0号棚,34.46,20.1,33.2,40.6,74.8,15.53,26.5125,3.967819772872755,12.299999999999997,53.31666666666666,8.099931412603992,33798.0,4998.0,0,0,0,0,0.0,0,1,0,0,0,0
2025-06-13,辽宁喀左基地,喀左0号棚,喀左0-1,0.0,0.0,23.3,24.7,9.52,,,,,24.063636363636363,0.520092172377738,1.3999999999999986,喀左0号棚,34.63,21.3,32.3,46.6,82.9,15.5,25.71666666666667,3.1219207050930824,9.299999999999997,57.68333333333334,8.708696164690148,32983.0,4891.0,0,0,0,0,0.0,0,1,0,0,0,0
2025-06-14,辽宁喀左基地,喀左0号棚,喀左0-1,0.0,0.0,23.4,24.9,8.62,0.21,0.036,7.98,2.6,24.247619047619047,0.5233764443441556,1.3999999999999986,喀左0号棚,34.71,19.4,34.0,53.2,90.0,15.3,25.125,4.292847733925193,14.5,75.97083333333335,11.392997819079735,31648.0,5212.0,7,0,0,0,0.0,0,1,1,1,1,1
2025-06-15,辽宁喀左基地,喀左0号棚,喀左0-1,0.0,0.0,23.6,24.4,7.87,,,,,23.929166666666664,0.18366447367111807,0.6999999999999993,喀左0号棚,35.39,20.6,30.8,75.9,97.2,15.33,23.570833333333336,2.0386840458709847,8.8,90.3875,5.010930760181518,16622.0,4077.0,0,0,0,0,0.0,0,1,0,0,0,0
2025-06-16,辽宁喀左基地,喀左0号棚,喀左0-1,0.0,0.0,22.7,23.6,9.1,,,,,23.166666666666668,0.2576604138956717,0.9000000000000021,喀左0号棚,35.39,18.6,28.9,59.0,91.4,15.57,21.900000000000002,2.4467665738003426,7.899999999999999,81.4375,9.246071801040701,31648.0,4761.0,0,0,0,0,0.0,0,1,0,0,0,0
2025-06-17,辽宁喀左基地,喀左0号棚,喀左0-1,0.0,0.0,22.0,24.4,9.86,0.2,0.05,7.65,2.5,23.170833333333334,0.8686575690237334,2.3999999999999986,喀左0号棚,34.79,16.6,34.4,44.5,92.1,15.6,24.916666666666668,5.819626753972762,16.7,72.84166666666667,16.239686898322752,41014.0,5182.0,0,0,0,0,0.0,0,1,1,1,1,1
2025-06-18,辽宁喀左基地,喀左0号棚,喀左0-1,0.0,0.0,23.4,24.9,8.78,,,,,24.120833333333334,0.508247943647805,1.3000000000000007,喀左0号棚,34.36,20.9,31.5,60.8,94.3,15.5,25.775000000000002,3.1779513841467115,9.5,76.66666666666667,8.529589022273518,32361.0,4262.0,0,0,0,0,0.0,0,1,0,0,0,0
2025-06-19,辽宁喀左基地,喀左0号棚,喀左0-1,0.0,1.0,24.3,24.8,7.85,,,,,24.587500000000002,0.14523687548277847,0.5,喀左0号棚,34.6,21.8,29.7,80.1,96.6,15.53,24.675,1.820084704988571,7.300000000000001,90.93333333333332,4.4329887084098125,16268.0,2288.0,0,0,0,0,0.0,0,1,0,0,0,0
2025-06-20,辽宁喀左基地,喀左0号棚,喀左0-1,0.0,1.0,23.6,25.2,8.04,,,,,24.433333333333334,0.5320296566504122,1.5,喀左0号棚,34.4,19.0,32.4,40.7,95.5,15.63,25.349999999999998,4.193546629445454,12.600000000000001,66.3,18.54871963236277,40538.0,4949.0,0,0,0,0,0.0,0,1,0,0,0,0
2025-06-21,辽宁喀左基地,喀左0号棚,喀左0-1,0.0,1.0,23.5,25.1,8.93,,0.1,7.76,2.6,24.395833333333332,0.4953779421366634,1.3999999999999986,喀左0号棚,33.79,17.4,32.1,41.6,86.2,15.7,24.8625,4.877995874331998,13.899999999999999,65.81666666666666,15.79313317728802,40136.0,5589.0,0,0,0,0,0.0,0,1,0,1,1,1
